Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"Dell G3 15.6 inch FHD 120Hz 250nits WVA LED Backlit Narrow Border Display Gaming laptop, Intel Core i5-10300H, 8 GB RAM, 512 GB SSD, NVIDIA GTX 1650 4GB GDDR6, Nahimic 3D Audio, Win 10 Home",699.0,46,15.6 in,Flash Memory Solid State,4.5 GHz,8 GB,4.2 out of 5 stars
"Dell Inspiron 3501 15.6 Inch HD (1366 x 768) Laptop, Intel Core i3-1005G1 Processor (3.4 GHz), 4 GB RAM, 128 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",449.0,60,15.6 in,Flash Memory Solid State,3.4 GHz,4 GB,4.5 out of 5 stars
"ASUS VivoBook with Microsoft Office 365 A416JA Full HD 14 inch Laptop (Intel Core i3-1005G1, 4GB RAM, 128GB PCIe SSD, Windows 10) Includes 1 year Microsoft Office Subscription",399.99,135,14 in,SSD,1.2 GHz,4 GB,4.1 out of 5 stars
"Dell Inspiron 17 3000 series 17.3 Inch FHD (1920 x 1080) Anti-Glare LED-Backlit Laptop Intel Core i5-1035G1 10th Gen, 8GB RAM, 128GB SSD + 1TB HDD, nVidia MX230 2GB, Windows 10 Home, Silver",799.0,337,17 in,SSD,3.6 GHz,8 GB,4.3 out of 5 stars
"CHUWI HeroBook Pro+ Laptop, 13.3-inch 3K (3200x1800) IPS Display, Intel Celeron J3455 Processor, 8GB RAM, 128GB EMMC, Windows 10 Home, 4K Video Decoding, 2.4G/5G WiFi, BT5.0, HDMI, Gray",299.0,272,13.3 in,SSD,1.5 GHz,8 GB,4.0 out of 5 stars
"Acer Aspire 5 A515-56 15.6 inch Laptop - (Intel Core i5-1135G7, 8GB RAM, 1TB SSD, Full HD Display, Windows 10, Black) - Amazon Exclusive",699.99,348,15.6 in,Flash Memory Solid State,4.2 GHz,8 GB,4.4 out of 5 stars
"CHUWI HeroBook Pro+ Laptop, 13.3-inch 3K (3200x1800) IPS Display, 8GB RAM, 128GB EMMC, Intel Celeron J3455 Processor, Windows 10 Home, 2.4G/5G WiFi, BT5.0, HDMI",279.0,485,13.3 in,SSD,1.5 GHz,8 GB,4.0 out of 5 stars
"ASUS VivoBook X413JA 14 inch Full HD Laptop (Intel Core i5, 8GB RAM, 512GB SSD, Wi-Fi 6, Windows 10)",529.99,135,14 in,SSD,1 GHz,8 GB,4.1 out of 5 stars
"HP 250 G7 15.6-inch Laptop, Intel Core i7-1065G7, 32 GB RAM, 1 TB SSD, Windows 10 Pro",1179.0,7,15.6 in,SSD,3.9 GHz,32 GB,4.1 out of 5 stars
"11.6"" Full HD Windows 10 Laptop - 4GB RAM, 64GB Storage, Intel 64-bit USB 3.0, Supports 256GB tf-card",209.95,69,11.6 in,eMMC,2.4 GHz,4 GB,3.8 out of 5 stars
"10"" Tablet Android 10 FACETEL Octa-Core Processor 1.6GHz Tablets 4GB RAM + 64GB ROM,Dual Cameras (5MP + 8MP) |1920x1200 FHD IPS Display | 8000mAh | Wi-Fi | Bluetooth (black)",189.99,256,Only WIFI,android 10.0,10 in,64 GB,4.6 out of 5 stars
"ASUS ZenBook UX325JA 13.3 inch Full HD Laptop (Intel i5-1035G1, 16GB RAM, 512GB PCIe SSD, 32GB Intel Optane Memory, Backlit Keyboard, Windows 10) Includes USB-C to Audio Jack Adapter & Carry Sleeve",729.99,103,13.3 in,SSD,1 GHz,16 GB,4.4 out of 5 stars
"Jumper Laptop with Microsoft Office 365, 13.3 inch FHD Windows 10 Computer 4GB RAM 64GB eMMC , Dual-band WiFi, USB3.0,PC Support 256GB TF card and 1TB SSD Expansion",269.99,64,13.3 in,eMMC,1.1 GHz,4 GB,4.3 out of 5 stars
Lenovo ThinkPad T440 Laptop PC - 14.1in i5-4300U 8GB 240GB SSD WiFi WebCam USB 3.0 Windows 10 Professional 64-bit (Renewed),355.0,486,14.1 in,ssd,1.9 GHz,8 GB,4.3 out of 5 stars
"Lenovo IdeaPad 1 14'' Laptop (AMD Processor, 4GB RAM, 64GB Storage, Windows 10S) - Platinum Grey",295.0,182,14 in,Embedded MultiMediaCard,2.8 GHz,4 GB,4.6 out of 5 stars
"Lenovo V145 A6 15.6-inch Laptop, AMD A6-9225, 8GB RAM, 1TB HDD , DVD+RW, Windows 10 Pro",459.0,35,15.6 in,Hybrid,2.6 GHz,8 GB,4.2 out of 5 stars
"ASUS TUF Gaming FX506LI 15.6"" Full HD 144Hz Gaming Laptop (Intel i5-10300H, NVIDIA GeForce GTX 1650Ti, 8 GB RAM, 512 GB SSD, Windows 10), Black",729.99,124,15.6 in,Flash Memory Solid State,2.5 GHz,8 GB,4.4 out of 5 stars
"Jumper 11.6 inch Touch screen Laptop 6GB DDR3 128GB ROM, 360 Degree Convertible Tablet PC Windows 10 small laptop Intel Celeron Quad core processor Supports 256GB TF Card Expansion",266.66,340,11.6 in,eMMC,1.1 GHz,6 GB,4.4 out of 5 stars
"ASUS ZenBook UM433DA 14 inch Full HD 300nits Laptop (AMD Ryzen 7, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes LED NumberPad",729.99,103,14 in,SSD,2.3 GHz,16 GB,4.4 out of 5 stars
